text,entities,type
M. A. Khan and Priya Nair met representatives of National Freight Corporation in Mumbai.,"[[0, 10, ""PERSON""], [15, 25, ""PERSON""], [49, 77, ""ORG""], [81, 87, ""GPE""]]",complex
Imran Sheikh appeared in the crime scene report.,"[[0, 12, ""PERSON""]]",hard_negative
Investigators traced the shipment from Navi Mumbai to Andheri East.,"[[39, 50, ""GPE""], [54, 66, ""LOC""]]",multi_entity
Ananya Sharma worked with National Freight Corporation in Jaipur.,"[[0, 13, ""PERSON""], [26, 54, ""ORG""], [58, 64, ""GPE""]]",multi_entity
The team reviewed the police report before questioning Mohit Chawla.,"[[55, 67, ""PERSON""]]",hard_negative
The suspect travelled from Nagpur to Surat.,"[[27, 33, ""GPE""], [37, 42, ""GPE""]]",location_context
"According to the CDR records, Mohit Chawla visited Nova Components in Pune.","[[30, 42, ""PERSON""], [51, 66, ""ORG""], [70, 74, ""GPE""]]",contrastive_negative
"The Location Surveillance Records mentioned Ayesha Khan, Mohit Chawla, and Metro Logistics Pvt Ltd.","[[44, 55, ""PERSON""], [57, 69, ""PERSON""], [75, 98, ""ORG""]]",complex
R K Sharma worked with Shakti Traders in Ahmedabad.,"[[0, 10, ""PERSON""], [23, 37, ""ORG""], [41, 50, ""GPE""]]",multi_entity
Metro Logistics Pvt Ltd submitted invoices from its Nagpur office.,"[[0, 23, ""ORG""], [52, 58, ""GPE""]]",multi_entity
"According to the Location Surveillance Records, Md. Arif Khan visited Nova Components in Surat.","[[48, 61, ""PERSON""], [70, 85, ""ORG""], [89, 94, ""GPE""]]",contrastive_negative
Suresh Iyer transferred money to City Cargo Services from Kochi.,"[[0, 11, ""PERSON""], [33, 52, ""ORG""], [58, 63, ""GPE""]]",multi_entity
"The incident report mentioned Mohammed Arif Khan, M. A. Khan, and Nova Components.","[[30, 48, ""PERSON""], [50, 60, ""PERSON""], [66, 81, ""ORG""]]",complex
Western Freight Solutions supplied invoices to investigators.,"[[0, 25, ""ORG""]]",org_context
Investigators compared the incident report with records from Metro Logistics Pvt Ltd.,"[[61, 84, ""ORG""]]",contrastive_negative
Nova Components rented space at Turbhe Warehouse No. 4.,"[[0, 15, ""ORG""], [32, 54, ""FAC""]]",facility_context
Maharashtra State Bank operates a warehouse in Lucknow.,"[[0, 22, ""ORG""], [47, 54, ""GPE""]]",multi_entity
The Location Surveillance Record was linked to an incident in Delhi.,"[[62, 67, ""GPE""]]",hard_negative
The arrest memo mentioned M. A. Khan.,"[[26, 36, ""PERSON""]]",hard_negative
Ravi Deshmukh transferred money to DM Trading Services from Bengaluru.,"[[0, 13, ""PERSON""], [35, 54, ""ORG""], [60, 69, ""GPE""]]",multi_entity
Investigators compared the investigation report with records from Nova Components.,"[[66, 81, ""ORG""]]",contrastive_negative
The vehicle associated with Mohit Chawla was found near Mumbai-Pune Expressway.,"[[28, 40, ""PERSON""], [56, 78, ""LOC""]]",multi_entity
Sameer Khan transferred money to Western Freight Solutions from Lucknow.,"[[0, 11, ""PERSON""], [33, 58, ""ORG""], [64, 71, ""GPE""]]",multi_entity
"R K Sharma transferred funds to Shakti Traders, while Sameer Khan contacted City Cargo Services.","[[0, 10, ""PERSON""], [32, 46, ""ORG""], [54, 65, ""PERSON""], [76, 95, ""ORG""]]",complex
The case file contained references to Neeraj Shah and BlueLine Transport.,"[[38, 49, ""PERSON""], [54, 72, ""ORG""]]",contrastive_negative
Funds moved from an account linked to Karan Sethi into Maharashtra State Bank.,"[[38, 49, ""PERSON""], [55, 77, ""ORG""]]",multi_entity
Priya Nair met an employee of Western Freight Solutions near Bandra Kurla Complex.,"[[0, 10, ""PERSON""], [30, 55, ""ORG""], [61, 81, ""LOC""]]",multi_entity
A payment was made to Apex Distributors.,"[[22, 39, ""ORG""]]",org_context
Rajiv Bansal met an employee of KS Electronics near Turbhe Industrial Area.,"[[0, 12, ""PERSON""], [32, 46, ""ORG""], [52, 74, ""LOC""]]",multi_entity
The evidence log contained references to Sameer Khan and City Cargo Services.,"[[41, 52, ""PERSON""], [57, 76, ""ORG""]]",contrastive_negative
Funds moved from an account linked to R K Sharma into National Freight Corporation.,"[[38, 48, ""PERSON""], [54, 82, ""ORG""]]",multi_entity
"According to the Call Detail Records, Neeraj Shah visited BlueLine Transport in Indore.","[[38, 49, ""PERSON""], [58, 76, ""ORG""], [80, 86, ""GPE""]]",contrastive_negative
Apex Distributors submitted invoices from its Jaipur office.,"[[0, 17, ""ORG""], [46, 52, ""GPE""]]",multi_entity
Priya Nair appeared in the Case File.,"[[0, 10, ""PERSON""]]",hard_negative
The Location Surveillance Record contained references to R K Sharma and National Freight Corporation.,"[[57, 67, ""PERSON""], [72, 100, ""ORG""]]",contrastive_negative
"Ananya Sharma transferred funds to National Freight Corporation, while R K Sharma contacted City Cargo Services.","[[0, 13, ""PERSON""], [35, 63, ""ORG""], [71, 81, ""PERSON""], [92, 111, ""ORG""]]",complex
The arrest memo showed that S. Iyer had contacted National Freight Corporation.,"[[28, 35, ""PERSON""], [50, 78, ""ORG""]]",contrastive_negative
S. Iyer travelled from Lucknow to Jaipur with Karan Sethi.,"[[0, 7, ""PERSON""], [23, 30, ""GPE""], [34, 40, ""GPE""], [46, 57, ""PERSON""]]",complex
The incident report showed that Rajiv Bansal had contacted Apex Distributors.,"[[32, 44, ""PERSON""], [59, 76, ""ORG""]]",contrastive_negative
"Ayesha Khan transferred funds to DM Trading Services, while Md. Arif Khan contacted Metro Logistics Pvt Ltd.","[[0, 11, ""PERSON""], [33, 52, ""ORG""], [60, 73, ""PERSON""], [84, 107, ""ORG""]]",complex
The suspect travelled from Pune to Lucknow.,"[[27, 31, ""GPE""], [35, 42, ""GPE""]]",location_context
"According to the case file, M. A. Khan visited KS Electronics in Delhi.","[[28, 38, ""PERSON""], [47, 61, ""ORG""], [65, 70, ""GPE""]]",contrastive_negative
Imran Sheikh travelled from Jaipur to Lucknow with Sameer Khan.,"[[0, 12, ""PERSON""], [28, 34, ""GPE""], [38, 45, ""GPE""], [51, 62, ""PERSON""]]",complex
Priya Nair was observed outside BlueLine Transport in Navi Mumbai.,"[[0, 10, ""PERSON""], [32, 50, ""ORG""], [54, 65, ""GPE""]]",multi_entity
The police report was linked to an incident in Nagpur.,"[[47, 53, ""GPE""]]",hard_negative
The station diary entry contained references to Vikram Joshi and City Cargo Services.,"[[48, 60, ""PERSON""], [65, 84, ""ORG""]]",contrastive_negative
"The surveillance record mentioned Priya Nair, Rajiv Bansal, and Shakti Traders.","[[34, 44, ""PERSON""], [46, 58, ""PERSON""], [64, 78, ""ORG""]]",complex
Investigators compared the forensic report with records from Metro Logistics Pvt Ltd.,"[[61, 84, ""ORG""]]",contrastive_negative
"S. Iyer transferred funds to Nova Components, while Mohit Chawla contacted Prime Warehousing.","[[0, 7, ""PERSON""], [29, 44, ""ORG""], [52, 64, ""PERSON""], [75, 92, ""ORG""]]",complex
Mohammed Arif Khan worked with BlueLine Transport in Mumbai.,"[[0, 18, ""PERSON""], [31, 49, ""ORG""], [53, 59, ""GPE""]]",multi_entity
The arrest memo showed that Vikram Joshi had contacted Maharashtra State Bank.,"[[28, 40, ""PERSON""], [55, 77, ""ORG""]]",contrastive_negative
The investigation report contained references to Ayesha Khan and Metro Logistics Pvt Ltd.,"[[49, 60, ""PERSON""], [65, 88, ""ORG""]]",contrastive_negative
Imran Sheikh and Md. Arif Khan met representatives of National Freight Corporation in Navi Mumbai.,"[[0, 12, ""PERSON""], [17, 30, ""PERSON""], [54, 82, ""ORG""], [86, 97, ""GPE""]]",complex
Imran Sheikh worked with Maharashtra State Bank in Chennai.,"[[0, 12, ""PERSON""], [25, 47, ""ORG""], [51, 58, ""GPE""]]",multi_entity
Mohammed Arif Khan was seen entering Turbhe Warehouse No. 4.,"[[0, 18, ""PERSON""], [37, 59, ""FAC""]]",facility_context
The FIR record showed that Md. Arif Khan had contacted City Cargo Services.,"[[27, 40, ""PERSON""], [55, 74, ""ORG""]]",contrastive_negative
The CCTV records was linked to an incident in Delhi.,"[[46, 51, ""GPE""]]",hard_negative
The bank records showed that R K Sharma had contacted National Freight Corporation.,"[[29, 39, ""PERSON""], [54, 82, ""ORG""]]",contrastive_negative
Police located Sameer Khan near Bandra Kurla Complex.,"[[15, 26, ""PERSON""], [32, 52, ""LOC""]]",multi_entity
Rohan Mehta transferred money to Prime Warehousing from Kochi.,"[[0, 11, ""PERSON""], [33, 50, ""ORG""], [56, 61, ""GPE""]]",multi_entity
Rajiv Bansal met an employee of KS Electronics near Andheri East.,"[[0, 12, ""PERSON""], [32, 46, ""ORG""], [52, 64, ""LOC""]]",multi_entity
Rajiv Bansal worked with Apex Distributors in Kochi.,"[[0, 12, ""PERSON""], [25, 42, ""ORG""], [46, 51, ""GPE""]]",multi_entity
"The CCTV record mentioned S. Iyer, Karan Sethi, and Maharashtra State Bank.","[[26, 33, ""PERSON""], [35, 46, ""PERSON""], [52, 74, ""ORG""]]",complex
The vehicle associated with Suresh Iyer was found near Eastern Express Highway.,"[[28, 39, ""PERSON""], [55, 78, ""LOC""]]",multi_entity
Mohit Chawla was observed outside Maharashtra State Bank in Delhi.,"[[0, 12, ""PERSON""], [34, 56, ""ORG""], [60, 65, ""GPE""]]",multi_entity
The police report mentioned Priya Nair.,"[[28, 38, ""PERSON""]]",hard_negative
The vehicle associated with Vikram Joshi was found near Eastern Express Highway.,"[[28, 40, ""PERSON""], [56, 79, ""LOC""]]",multi_entity
Mohammed Arif Khan transferred money to Metro Logistics Pvt Ltd from Pune.,"[[0, 18, ""PERSON""], [40, 63, ""ORG""], [69, 73, ""GPE""]]",multi_entity
"The CCTV record mentioned Imran Sheikh, Dev Malhotra, and Prime Warehousing.","[[26, 38, ""PERSON""], [40, 52, ""PERSON""], [58, 75, ""ORG""]]",complex
Md. Arif Khan was observed outside Prime Warehousing in Bengaluru.,"[[0, 13, ""PERSON""], [35, 52, ""ORG""], [56, 65, ""GPE""]]",multi_entity
The vehicle associated with S. Iyer was found near Dharavi.,"[[28, 35, ""PERSON""], [51, 58, ""LOC""]]",multi_entity
"According to the Location Surveillance Records, Ravi Deshmukh visited Nova Components in Indore.","[[48, 61, ""PERSON""], [70, 85, ""ORG""], [89, 95, ""GPE""]]",contrastive_negative
The mobile extraction report was linked to an incident in Ahmedabad.,"[[58, 67, ""GPE""]]",hard_negative
The control room log was linked to an incident in Delhi.,"[[50, 55, ""GPE""]]",hard_negative
The case file contained references to M. A. Khan and Apex Distributors.,"[[38, 48, ""PERSON""], [53, 70, ""ORG""]]",contrastive_negative
"Priya Nair transferred funds to BlueLine Transport, while Rohan Mehta contacted Nova Components.","[[0, 10, ""PERSON""], [32, 50, ""ORG""], [58, 69, ""PERSON""], [80, 95, ""ORG""]]",complex
Funds moved from an account linked to Vikram Joshi into National Freight Corporation.,"[[38, 50, ""PERSON""], [56, 84, ""ORG""]]",multi_entity
Funds moved from an account linked to Vikram Joshi into Maharashtra State Bank.,"[[38, 50, ""PERSON""], [56, 78, ""ORG""]]",multi_entity
"According to the FIR, Md. Arif Khan visited KS Electronics in Surat.","[[22, 35, ""PERSON""], [44, 58, ""ORG""], [62, 67, ""GPE""]]",contrastive_negative
S. Iyer met an employee of Nova Components near Powai Lake Road.,"[[0, 7, ""PERSON""], [27, 42, ""ORG""], [48, 63, ""LOC""]]",multi_entity
Suresh Iyer met an employee of Apex Distributors near Bandra Kurla Complex.,"[[0, 11, ""PERSON""], [31, 48, ""ORG""], [54, 74, ""LOC""]]",multi_entity
Investigators compared the Location Surveillance Record with records from BlueLine Transport.,"[[74, 92, ""ORG""]]",contrastive_negative
The police report was linked to an incident in Lucknow.,"[[47, 54, ""GPE""]]",hard_negative
National Freight Corporation was named in the evidence log reviewed by investigators.,"[[0, 28, ""ORG""]]",contrastive_negative
The financial records showed that Ananya Sharma had contacted Maharashtra State Bank.,"[[34, 47, ""PERSON""], [62, 84, ""ORG""]]",contrastive_negative
"According to the FIR, Imran Sheikh visited Prime Warehousing in Hyderabad.","[[22, 34, ""PERSON""], [43, 60, ""ORG""], [64, 73, ""GPE""]]",contrastive_negative
The station diary entry showed that Vikram Joshi had contacted Metro Logistics Pvt Ltd.,"[[36, 48, ""PERSON""], [63, 86, ""ORG""]]",contrastive_negative
Prime Warehousing operates a warehouse in Delhi.,"[[0, 17, ""ORG""], [42, 47, ""GPE""]]",multi_entity
Ananya Sharma was seen entering Vashi Logistics Yard.,"[[0, 13, ""PERSON""], [32, 52, ""FAC""]]",facility_context
The vehicle associated with R K Sharma was found near Powai Lake Road.,"[[28, 38, ""PERSON""], [54, 69, ""LOC""]]",multi_entity
The FIR record mentioned Suresh Iyer.,"[[25, 36, ""PERSON""]]",hard_negative
"The Location Surveillance Record mentioned Suresh Iyer, Rajiv Bansal, and Prime Warehousing.","[[43, 54, ""PERSON""], [56, 68, ""PERSON""], [74, 91, ""ORG""]]",complex
Mohammed Arif Khan worked with National Freight Corporation in Chennai.,"[[0, 18, ""PERSON""], [31, 59, ""ORG""], [63, 70, ""GPE""]]",multi_entity
The suspect travelled from Mumbai to Chennai.,"[[27, 33, ""GPE""], [37, 44, ""GPE""]]",location_context
Investigators compared the case file with records from DM Trading Services.,"[[55, 74, ""ORG""]]",contrastive_negative
National Freight Corporation operates a warehouse in Mumbai.,"[[0, 28, ""ORG""], [53, 59, ""GPE""]]",multi_entity
Sameer Khan met an employee of Shakti Traders near Dharavi.,"[[0, 11, ""PERSON""], [31, 45, ""ORG""], [51, 58, ""LOC""]]",multi_entity
Ravi Deshmukh appeared in the police report.,"[[0, 13, ""PERSON""]]",hard_negative
The vehicle associated with Neeraj Shah was found near Vashi Sector 17.,"[[28, 39, ""PERSON""], [55, 70, ""LOC""]]",multi_entity
DM Trading Services was named in the arrest memo reviewed by investigators.,"[[0, 19, ""ORG""]]",contrastive_negative
Imran Sheikh was seen entering Andheri Commercial Complex.,"[[0, 12, ""PERSON""], [31, 57, ""FAC""]]",facility_context
S. Iyer appeared in the Location Surveillance Record.,"[[0, 7, ""PERSON""]]",hard_negative
The team reviewed the seizure memo before questioning S. Iyer.,"[[54, 61, ""PERSON""]]",hard_negative
The case file was reviewed by the investigating officer.,[],hard_negative
DM Trading Services rented space at Sector 19 Storage Depot.,"[[0, 19, ""ORG""], [36, 59, ""FAC""]]",facility_context
Rajiv Bansal met an employee of Metro Logistics Pvt Ltd near Turbhe Industrial Area.,"[[0, 12, ""PERSON""], [32, 55, ""ORG""], [61, 83, ""LOC""]]",multi_entity
Neeraj Shah and M. A. Khan met representatives of DM Trading Services in Surat.,"[[0, 11, ""PERSON""], [16, 26, ""PERSON""], [50, 69, ""ORG""], [73, 78, ""GPE""]]",complex
The surveillance record was linked to an incident in Lucknow.,"[[53, 60, ""GPE""]]",hard_negative
Vikram Joshi and S. Iyer met representatives of BlueLine Transport in Hyderabad.,"[[0, 12, ""PERSON""], [17, 24, ""PERSON""], [48, 66, ""ORG""], [70, 79, ""GPE""]]",complex
Police searched Sector 19 Storage Depot after receiving information.,"[[16, 39, ""FAC""]]",facility_context
Funds moved from an account linked to Sameer Khan into National Freight Corporation.,"[[38, 49, ""PERSON""], [55, 83, ""ORG""]]",multi_entity
Maharashtra State Bank was named in the Call Detail Records reviewed by investigators.,"[[0, 22, ""ORG""]]",contrastive_negative
Neeraj Shah transferred money to Metro Logistics Pvt Ltd from Bengaluru.,"[[0, 11, ""PERSON""], [33, 56, ""ORG""], [62, 71, ""GPE""]]",multi_entity
Police located Rohan Mehta near Turbhe Industrial Area.,"[[15, 26, ""PERSON""], [32, 54, ""LOC""]]",multi_entity
Entries in the police report were compared with bank transactions.,[],hard_negative
Ananya Sharma appeared in the CCTV records.,"[[0, 13, ""PERSON""]]",hard_negative
Sameer Khan met an employee of City Cargo Services near Dharavi.,"[[0, 11, ""PERSON""], [31, 50, ""ORG""], [56, 63, ""LOC""]]",multi_entity
Neeraj Shah appeared in the CCTV record.,"[[0, 11, ""PERSON""]]",hard_negative
No useful information was found in the Location Surveillance Record.,[],hard_negative
M. A. Khan was observed outside Shakti Traders in Nagpur.,"[[0, 10, ""PERSON""], [32, 46, ""ORG""], [50, 56, ""GPE""]]",multi_entity
Funds moved from an account linked to Vikram Joshi into City Cargo Services.,"[[38, 50, ""PERSON""], [56, 75, ""ORG""]]",multi_entity
"According to the seizure memo, Ananya Sharma visited Nova Components in Nagpur.","[[31, 44, ""PERSON""], [53, 68, ""ORG""], [72, 78, ""GPE""]]",contrastive_negative
A payment was made to DM Trading Services.,"[[22, 41, ""ORG""]]",org_context
The case file showed that Rohan Mehta had contacted Apex Distributors.,"[[26, 37, ""PERSON""], [52, 69, ""ORG""]]",contrastive_negative
Maharashtra State Bank rented space at Bhiwandi Distribution Hub.,"[[0, 22, ""ORG""], [39, 64, ""FAC""]]",facility_context
Karan Sethi was observed outside KS Electronics in Thane.,"[[0, 11, ""PERSON""], [33, 47, ""ORG""], [51, 56, ""GPE""]]",multi_entity
The Call Detail Records mentioned Imran Sheikh.,"[[34, 46, ""PERSON""]]",hard_negative
The team reviewed the mobile extraction report before questioning S. Iyer.,"[[66, 73, ""PERSON""]]",hard_negative
Mohit Chawla was observed outside Apex Distributors in Delhi.,"[[0, 12, ""PERSON""], [34, 51, ""ORG""], [55, 60, ""GPE""]]",multi_entity
The incident report contained references to Mohit Chawla and Maharashtra State Bank.,"[[44, 56, ""PERSON""], [61, 83, ""ORG""]]",contrastive_negative
The mobile extraction report mentioned Mohit Chawla.,"[[39, 51, ""PERSON""]]",hard_negative
R K Sharma travelled from Lucknow to Jaipur with Ayesha Khan.,"[[0, 10, ""PERSON""], [26, 33, ""GPE""], [37, 43, ""GPE""], [49, 60, ""PERSON""]]",complex
"The Call Detail Records mentioned M. A. Khan, Sameer Khan, and DM Trading Services.","[[34, 44, ""PERSON""], [46, 57, ""PERSON""], [63, 82, ""ORG""]]",complex
The CCTV footage mentioned Md. Arif Khan.,"[[27, 40, ""PERSON""]]",hard_negative
The team reviewed the CCTV record before questioning Karan Sethi.,"[[53, 64, ""PERSON""]]",hard_negative
The suspect travelled from Bengaluru to Mumbai.,"[[27, 36, ""GPE""], [40, 46, ""GPE""]]",location_context
The suspect travelled from Hyderabad to Indore.,"[[27, 36, ""GPE""], [40, 46, ""GPE""]]",location_context
The FIR was linked to an incident in Jaipur.,"[[37, 43, ""GPE""]]",hard_negative
A payment was made to Maharashtra State Bank.,"[[22, 44, ""ORG""]]",org_context
The surveillance record was reviewed by the investigating officer.,[],hard_negative
KS Electronics was named in the investigation report reviewed by investigators.,"[[0, 14, ""ORG""]]",contrastive_negative
"According to the CDR records, S. Iyer visited Prime Warehousing in Pune.","[[30, 37, ""PERSON""], [46, 63, ""ORG""], [67, 71, ""GPE""]]",contrastive_negative
"The surveillance records mentioned Mohit Chawla, Sameer Khan, and Metro Logistics Pvt Ltd.","[[35, 47, ""PERSON""], [49, 60, ""PERSON""], [66, 89, ""ORG""]]",complex
R K Sharma worked with Metro Logistics Pvt Ltd in Lucknow.,"[[0, 10, ""PERSON""], [23, 46, ""ORG""], [50, 57, ""GPE""]]",multi_entity
"The FIR record mentioned Karan Sethi, S. Iyer, and Metro Logistics Pvt Ltd.","[[25, 36, ""PERSON""], [38, 45, ""PERSON""], [51, 74, ""ORG""]]",complex
City Cargo Services rented space at Turbhe Warehouse No. 4.,"[[0, 19, ""ORG""], [36, 58, ""FAC""]]",facility_context
"According to the Location Surveillance Records, Rajiv Bansal visited Western Freight Solutions in Kochi.","[[48, 60, ""PERSON""], [69, 94, ""ORG""], [98, 103, ""GPE""]]",contrastive_negative
Imran Sheikh and M. A. Khan met representatives of Nova Components in Pune.,"[[0, 12, ""PERSON""], [17, 27, ""PERSON""], [51, 66, ""ORG""], [70, 74, ""GPE""]]",complex
The consignment was moved through Kochi.,"[[34, 39, ""GPE""]]",location_context
Shakti Traders was named in the CCTV footage reviewed by investigators.,"[[0, 14, ""ORG""]]",contrastive_negative
"Vikram Joshi transferred funds to BlueLine Transport, while Rohan Mehta contacted Maharashtra State Bank.","[[0, 12, ""PERSON""], [34, 52, ""ORG""], [60, 71, ""PERSON""], [82, 104, ""ORG""]]",complex
Western Freight Solutions operates a warehouse in Bengaluru.,"[[0, 25, ""ORG""], [50, 59, ""GPE""]]",multi_entity
Metro Logistics Pvt Ltd was named in the case file reviewed by investigators.,"[[0, 23, ""ORG""]]",contrastive_negative
Investigators compared the surveillance records with records from BlueLine Transport.,"[[66, 84, ""ORG""]]",contrastive_negative
The CCTV record contained references to Arjun Patel and National Freight Corporation.,"[[40, 51, ""PERSON""], [56, 84, ""ORG""]]",contrastive_negative
Funds moved from an account linked to Ananya Sharma into Nova Components.,"[[38, 51, ""PERSON""], [57, 72, ""ORG""]]",multi_entity
Investigators collected the seizure memo for further examination.,[],hard_negative
Mohit Chawla was observed outside Maharashtra State Bank in Jaipur.,"[[0, 12, ""PERSON""], [34, 56, ""ORG""], [60, 66, ""GPE""]]",multi_entity
The forensic report contained references to Ananya Sharma and City Cargo Services.,"[[44, 57, ""PERSON""], [62, 81, ""ORG""]]",contrastive_negative
Metro Logistics Pvt Ltd submitted invoices from its Surat office.,"[[0, 23, ""ORG""], [52, 57, ""GPE""]]",multi_entity
Police located Suresh Iyer near Powai Lake Road.,"[[15, 26, ""PERSON""], [32, 47, ""LOC""]]",multi_entity
"According to the arrest memo, Imran Sheikh visited Prime Warehousing in Chennai.","[[30, 42, ""PERSON""], [51, 68, ""ORG""], [72, 79, ""GPE""]]",contrastive_negative
Funds moved from an account linked to Karan Sethi into BlueLine Transport.,"[[38, 49, ""PERSON""], [55, 73, ""ORG""]]",multi_entity
A payment was made to National Freight Corporation.,"[[22, 50, ""ORG""]]",org_context
The suspect travelled from Jaipur to Lucknow.,"[[27, 33, ""GPE""], [37, 44, ""GPE""]]",location_context
The Case File contained references to Rajiv Bansal and Apex Distributors.,"[[38, 50, ""PERSON""], [55, 72, ""ORG""]]",contrastive_negative
The mobile extraction report showed that Vikram Joshi had contacted City Cargo Services.,"[[41, 53, ""PERSON""], [68, 87, ""ORG""]]",contrastive_negative
"According to the forensic report, Priya Nair visited City Cargo Services in Hyderabad.","[[34, 44, ""PERSON""], [53, 72, ""ORG""], [76, 85, ""GPE""]]",contrastive_negative
A payment was made to Western Freight Solutions.,"[[22, 47, ""ORG""]]",org_context
Vikram Joshi transferred money to City Cargo Services from Kochi.,"[[0, 12, ""PERSON""], [34, 53, ""ORG""], [59, 64, ""GPE""]]",multi_entity
Arjun Patel transferred money to City Cargo Services from Navi Mumbai.,"[[0, 11, ""PERSON""], [33, 52, ""ORG""], [58, 69, ""GPE""]]",multi_entity
"According to the case file, Priya Nair visited National Freight Corporation in Lucknow.","[[28, 38, ""PERSON""], [47, 75, ""ORG""], [79, 86, ""GPE""]]",contrastive_negative
Investigators compared the forensic report with records from Shakti Traders.,"[[61, 75, ""ORG""]]",contrastive_negative
The incident occurred in Delhi.,"[[25, 30, ""GPE""]]",location_context
Funds moved from an account linked to Mohit Chawla into Shakti Traders.,"[[38, 50, ""PERSON""], [56, 70, ""ORG""]]",multi_entity
The incident report contained references to Rajiv Bansal and KS Electronics.,"[[44, 56, ""PERSON""], [61, 75, ""ORG""]]",contrastive_negative
The forensic report showed that Karan Sethi had contacted BlueLine Transport.,"[[32, 43, ""PERSON""], [58, 76, ""ORG""]]",contrastive_negative
Neeraj Shah transferred money to Nova Components from Mumbai.,"[[0, 11, ""PERSON""], [33, 48, ""ORG""], [54, 60, ""GPE""]]",multi_entity
S. Iyer met an employee of Shakti Traders near Dharavi.,"[[0, 7, ""PERSON""], [27, 41, ""ORG""], [47, 54, ""LOC""]]",multi_entity
The vehicle associated with Suresh Iyer was found near Vashi Sector 17.,"[[28, 39, ""PERSON""], [55, 70, ""LOC""]]",multi_entity
Entries in the case file were compared with bank transactions.,[],hard_negative
"The financial records mentioned S. Iyer, Suresh Iyer, and Apex Distributors.","[[32, 39, ""PERSON""], [41, 52, ""PERSON""], [58, 75, ""ORG""]]",complex
Police located Mohammed Arif Khan near Bandra Kurla Complex.,"[[15, 33, ""PERSON""], [39, 59, ""LOC""]]",multi_entity
Investigators traced the shipment from Navi Mumbai to Powai Lake Road.,"[[39, 50, ""GPE""], [54, 69, ""LOC""]]",multi_entity
Neeraj Shah appeared in the forensic report.,"[[0, 11, ""PERSON""]]",hard_negative
A payment was made to City Cargo Services.,"[[22, 41, ""ORG""]]",org_context
Rohan Mehta appeared in the arrest memo.,"[[0, 11, ""PERSON""]]",hard_negative
The investigation report mentioned Ananya Sharma.,"[[35, 48, ""PERSON""]]",hard_negative
The incident report was reviewed by the investigating officer.,[],hard_negative
"The evidence log mentioned Ravi Deshmukh, Neeraj Shah, and KS Electronics.","[[27, 40, ""PERSON""], [42, 53, ""PERSON""], [59, 73, ""ORG""]]",complex
The evidence log was linked to an incident in Jaipur.,"[[46, 52, ""GPE""]]",hard_negative
Priya Nair transferred money to Nova Components from Lucknow.,"[[0, 10, ""PERSON""], [32, 47, ""ORG""], [53, 60, ""GPE""]]",multi_entity
Mohit Chawla appeared in the financial records.,"[[0, 12, ""PERSON""]]",hard_negative
Nova Components was named in the incident report reviewed by investigators.,"[[0, 15, ""ORG""]]",contrastive_negative
The vehicle associated with Rohan Mehta was found near Mumbai-Pune Expressway.,"[[28, 39, ""PERSON""], [55, 77, ""LOC""]]",multi_entity
The CDR records contained references to Karan Sethi and Nova Components.,"[[40, 51, ""PERSON""], [56, 71, ""ORG""]]",contrastive_negative
"Rohan Mehta transferred funds to KS Electronics, while Karan Sethi contacted National Freight Corporation.","[[0, 11, ""PERSON""], [33, 47, ""ORG""], [55, 66, ""PERSON""], [77, 105, ""ORG""]]",complex
Neeraj Shah and Rajiv Bansal met representatives of Prime Warehousing in Jaipur.,"[[0, 11, ""PERSON""], [16, 28, ""PERSON""], [52, 69, ""ORG""], [73, 79, ""GPE""]]",complex
"The FIR mentioned Md. Arif Khan, Ananya Sharma, and Western Freight Solutions.","[[18, 31, ""PERSON""], [33, 46, ""PERSON""], [52, 77, ""ORG""]]",complex
Priya Nair was observed outside Prime Warehousing in Hyderabad.,"[[0, 10, ""PERSON""], [32, 49, ""ORG""], [53, 62, ""GPE""]]",multi_entity
National Freight Corporation maintained an office in Kochi.,"[[0, 28, ""ORG""], [53, 58, ""GPE""]]",org_context
Arjun Patel appeared in the Case File.,"[[0, 11, ""PERSON""]]",hard_negative
Imran Sheikh transferred money to City Cargo Services from Surat.,"[[0, 12, ""PERSON""], [34, 53, ""ORG""], [59, 64, ""GPE""]]",multi_entity
"The investigation report mentioned Vikram Joshi, Neeraj Shah, and Shakti Traders.","[[35, 47, ""PERSON""], [49, 60, ""PERSON""], [66, 80, ""ORG""]]",complex
Sameer Khan and Rajiv Bansal met representatives of City Cargo Services in Surat.,"[[0, 11, ""PERSON""], [16, 28, ""PERSON""], [52, 71, ""ORG""], [75, 80, ""GPE""]]",complex
Prime Warehousing was named in the surveillance records reviewed by investigators.,"[[0, 17, ""ORG""]]",contrastive_negative
Investigators collected the Location Surveillance Record for further examination.,[],hard_negative
The team reviewed the Case File before questioning Md. Arif Khan.,"[[51, 64, ""PERSON""]]",hard_negative
The vehicle associated with S. Iyer was found near Eastern Express Highway.,"[[28, 35, ""PERSON""], [51, 74, ""LOC""]]",multi_entity
The incident report was linked to an incident in Chennai.,"[[49, 56, ""GPE""]]",hard_negative
Maharashtra State Bank was named in the investigation report reviewed by investigators.,"[[0, 22, ""ORG""]]",contrastive_negative
Suresh Iyer appeared in the surveillance record.,"[[0, 11, ""PERSON""]]",hard_negative
Investigators traced the shipment from Jaipur to Eastern Express Highway.,"[[39, 45, ""GPE""], [49, 72, ""LOC""]]",multi_entity
